minutes,both,firstonly
1,     0,    0
2,     0,    1
3,     0,   23
4,     2,  102
5,     5,  227
6,    25,  408
7,    53,  593
8,    92,  847
9,   158, 1082
10,   218, 1326
11,   318, 1514
12,   434, 1747
13,   562, 1944
14,   717, 2095
15,   883, 2235
16,  1058, 2348
17,  1240, 2448
18,  1403, 2538
19,  1588, 2594
20,  1757, 2681
21,  1939, 2757
22,  2147, 2769
23,  2337, 2786
24,  2518, 2775
25,  2699, 2788
26,  2869, 2780
27,  3049, 2761
28,  3235, 2745
29,  3447, 2697
30,  3611, 2685
31,  3783, 2654
32,  3944, 2628
33,  4114, 2581
34,  4265, 2563
35,  4409, 2539
36,  4579, 2497
37,  4727, 2442
38,  4874, 2412
39,  5012, 2363
40,  5133, 2345
41,  5281, 2313
42,  5415, 2289
43,  5546, 2253
44,  5680, 2226
45,  5793, 2204
46,  5907, 2183
47,  6019, 2177
48,  6150, 2134
49,  6248, 2116
50,  6353, 2103
51,  6489, 2040
52,  6603, 1999
53,  6709, 1961
54,  6806, 1932
55,  6920, 1893
56,  7009, 1872
57,  7106, 1863
58,  7195, 1841
59,  7276, 1822
60,  7353, 1818
61,  7432, 1798
62,  7513, 1780
63,  7601, 1765
64,  7667, 1761
65,  7739, 1767
66,  7809, 1760
67,  7879, 1738
68,  7968, 1709
69,  8041, 1681
70,  8107, 1671
71,  8180, 1646
72,  8243, 1648
73,  8312, 1629
74,  8382, 1623
75,  8453, 1609
76,  8529, 1596
77,  8594, 1585
78,  8659, 1572
79,  8731, 1555
80,  8787, 1549
81,  8834, 1570
82,  8885, 1590
83,  8943, 1586
84,  9011, 1574
85,  9066, 1578
86,  9121, 1573
87,  9177, 1587
88,  9229, 1591
89,  9278, 1608
90,  9342, 1591
91,  9390, 1606
92,  9446, 1615
93,  9496, 1620
94,  9560, 1620
95,  9621, 1618
96,  9674, 1620
97,  9736, 1613
98,  9794, 1613
99,  9845, 1617
100,  9912, 1602
101,  9959, 1601
102, 10015, 1599
103, 10081, 1579
104, 10132, 1599
105, 10176, 1607
106, 10228, 1624
107, 10288, 1620
108, 10336, 1629
109, 10386, 1639
110, 10440, 1652
111, 10492, 1656
112, 10537, 1665
113, 10577, 1678
114, 10625, 1671
115, 10677, 1677
116, 10730, 1677
117, 10781, 1680
118, 10818, 1698
119, 10870, 1706
120, 10921, 1707
121, 10968, 1719
122, 11014, 1724
123, 11063, 1734
124, 11120, 1732
125, 11173, 1742
126, 11225, 1747
127, 11271, 1749
128, 11321, 1764
129, 11382, 1766
130, 11426, 1780
131, 11494, 1754
132, 11551, 1746
133, 11603, 1747
134, 11653, 1751
135, 11700, 1756
136, 11756, 1754
137, 11810, 1751
138, 11853, 1763
139, 11912, 1761
140, 11967, 1754
141, 12011, 1764
142, 12065, 1759
143, 12113, 1777
144, 12166, 1799
145, 12209, 1809
146, 12258, 1817
147, 12309, 1841
148, 12356, 1858
149, 12408, 1871
150, 12463, 1881
151, 12520, 1875
152, 12578, 1878
153, 12622, 1893
154, 12669, 1914
155, 12711, 1942
156, 12769, 1936
157, 12824, 1942
158, 12887, 1939
159, 12946, 1947
160, 12995, 1957
161, 13043, 1964
162, 13093, 1975
163, 13150, 1974
164, 13197, 1989
165, 13245, 1998
166, 13306, 2002
167, 13355, 2018
168, 13419, 2006
169, 13480, 2001
170, 13534, 1998
171, 13598, 2007
172, 13654, 2005
173, 13717, 2001
174, 13772, 2012
175, 13819, 2033
176, 13875, 2037
177, 13930, 2046
178, 13976, 2067
179, 14039, 2062
180, 14089, 2076
181, 14150, 2078
182, 14207, 2074
183, 14266, 2090
184, 14316, 2103
185, 14357, 2118
186, 14413, 2126
187, 14466, 2148
188, 14508, 2157
189, 14565, 2148
190, 14624, 2152
191, 14681, 2147
192, 14728, 2162
193, 14779, 2181
194, 14836, 2185
195, 14891, 2189
196, 14962, 2170
197, 15019, 2166
198, 15082, 2160
199, 15129, 2165
200, 15165, 2186
201, 15223, 2178
202, 15267, 2198
203, 15316, 2206
204, 15378, 2203
205, 15430, 2218
206, 15481, 2222
207, 15525, 2243
208, 15570, 2247
209, 15633, 2249
210, 15685, 2272
211, 15738, 2278
212, 15794, 2272
213, 15858, 2272
214, 15912, 2270
215, 15964, 2283
216, 16017, 2283
217, 16067, 2291
218, 16117, 2297
219, 16168, 2304
220, 16229, 2290
221, 16269, 2312
222, 16320, 2314
223, 16367, 2323
224, 16422, 2322
225, 16482, 2319
226, 16529, 2322
227, 16572, 2335
228, 16623, 2343
229, 16684, 2341
230, 16734, 2348
231, 16782, 2362
232, 16827, 2368
233, 16882, 2372
234, 16942, 2368
235, 16993, 2381
236, 17038, 2390
237, 17086, 2401
238, 17139, 2408
239, 17196, 2406
240, 17253, 2416
241, 17316, 2418
242, 17357, 2430
243, 17410, 2425
244, 17469, 2425
245, 17513, 2423
246, 17567, 2422
247, 17618, 2415
248, 17677, 2404
249, 17731, 2403
250, 17786, 2401
251, 17823, 2418
252, 17891, 2418
253, 17938, 2425
254, 17983, 2444
255, 18024, 2450
256, 18073, 2447
257, 18124, 2455
258, 18173, 2456
259, 18231, 2441
260, 18269, 2464
261, 18320, 2469
262, 18373, 2464
263, 18425, 2450
264, 18470, 2444
265, 18522, 2450
266, 18575, 2446
267, 18630, 2442
268, 18672, 2442
269, 18716, 2445
270, 18772, 2443
271, 18814, 2440
272, 18860, 2448
273, 18919, 2442
274, 18974, 2435
275, 19012, 2452
276, 19068, 2442
277, 19104, 2450
278, 19148, 2462
279, 19193, 2460
280, 19240, 2462
281, 19285, 2470
282, 19330, 2472
283, 19364, 2491
284, 19414, 2491
285, 19465, 2493
286, 19527, 2485
287, 19576, 2478
288, 19621, 2491
289, 19677, 2485
290, 19713, 2501
291, 19759, 2492
292, 19812, 2483
293, 19865, 2487
294, 19915, 2494
295, 19954, 2507
296, 19989, 2531
297, 20044, 2516
298, 20087, 2512
299, 20128, 2520
300, 20175, 2517
301, 20217, 2524
302, 20258, 2520
303, 20309, 2502
304, 20357, 2484
305, 20402, 2480
306, 20454, 2467
307, 20492, 2469
308, 20534, 2464
309, 20567, 2465
310, 20611, 2455
311, 20653, 2454
312, 20692, 2462
313, 20740, 2445
314, 20780, 2439
315, 20835, 2423
316, 20896, 2407
317, 20939, 2404
318, 20980, 2415
319, 21023, 2407
320, 21058, 2416
321, 21093, 2411
322, 21131, 2410
323, 21165, 2405
324, 21192, 2407
325, 21229, 2404
326, 21269, 2390
327, 21313, 2387
328, 21356, 2382
329, 21397, 2381
330, 21440, 2378
331, 21477, 2387
332, 21509, 2405
333, 21546, 2391
334, 21578, 2412
335, 21612, 2421
336, 21650, 2421
337, 21696, 2404
338, 21737, 2395
339, 21772, 2398
340, 21809, 2389
341, 21851, 2388
342, 21895, 2383
343, 21935, 2384
344, 21965, 2378
345, 21997, 2382
346, 22038, 2381
347, 22078, 2384
348, 22116, 2381
349, 22155, 2374
350, 22195, 2370
351, 22227, 2365
352, 22271, 2350
353, 22306, 2348
354, 22343, 2346
355, 22381, 2340
356, 22423, 2334
357, 22461, 2329
358, 22487, 2340
359, 22522, 2339
360, 22554, 2341
361, 22586, 2336
362, 22625, 2336
363, 22651, 2342
364, 22679, 2344
365, 22714, 2338
366, 22751, 2330
367, 22787, 2324
368, 22818, 2319
369, 22849, 2314
370, 22889, 2303
371, 22925, 2303
372, 22963, 2306
373, 22998, 2300
374, 23031, 2293
375, 23064, 2293
376, 23090, 2301
377, 23121, 2295
378, 23159, 2285
379, 23190, 2290
380, 23221, 2279
381, 23253, 2275
382, 23277, 2284
383, 23305, 2290
384, 23324, 2310
385, 23357, 2308
386, 23393, 2301
387, 23425, 2299
388, 23466, 2295
389, 23498, 2293
390, 23523, 2296
391, 23551, 2293
392, 23587, 2286
393, 23622, 2283
394, 23644, 2284
395, 23671, 2282
396, 23702, 2283
397, 23738, 2278
398, 23763, 2287
399, 23792, 2295
400, 23831, 2289
401, 23860, 2292
402, 23891, 2290
403, 23909, 2313
404, 23950, 2303
405, 23976, 2303
406, 24015, 2297
407, 24041, 2294
408, 24084, 2282
409, 24113, 2285
410, 24139, 2288
411, 24166, 2288
412, 24205, 2280
413, 24230, 2283
414, 24255, 2288
