minutes,both,half
0,     0,   0
1,     0,   0
2,     0,   0
3,     0,   0
4,     0,   2
5,     0,   2
6,     1,   9
7,     1,  14
8,     6,  23
9,     9,  40
10,    15,  62
11,    22,  89
12,    35, 111
13,    54, 131
14,    82, 150
15,   104, 188
16,   136, 228
17,   169, 278
18,   208, 324
19,   272, 361
20,   344, 410
21,   416, 456
22,   484, 510
23,   574, 542
24,   648, 580
25,   733, 609
26,   823, 653
27,   917, 719
28,  1010, 760
29,  1129, 776
30,  1203, 819
31,  1305, 852
32,  1381, 909
33,  1476, 959
34,  1593, 967
35,  1701, 986
36,  1805,1037
37,  1920,1049
37,  1924,1047
38,  2037,1084
39,  2149,1134
40,  2267,1165
41,  2385,1217
42,  2492,1243
43,  2610,1281
44,  2727,1282
45,  2842,1326
46,  2971,1365
47,  3102,1353
48,  3222,1347
49,  3368,1330
50,  3497,1339
51,  3611,1338
52,  3744,1341
53,  3884,1315
54,  4003,1315
55,  4102,1332
56,  4211,1325
57,  4337,1322
58,  4467,1318
59,  4604,1286
60,  4721,1299
61,  4851,1303
62,  4966,1300
63,  5066,1293
64,  5169,1298
65,  5288,1283
66,  5379,1314
67,  5482,1331
68,  5571,1349
68,  5572,1350
69,  5680,1347
70,  5781,1354
71,  5884,1342
72,  5990,1339
73,  6096,1348
74,  6187,1374
75,  6278,1387
76,  6384,1350
77,  6474,1369
78,  6582,1357
79,  6691,1335
80,  6785,1350
81,  6888,1344
82,  6968,1356
83,  7061,1365
84,  7156,1354
85,  7254,1356
86,  7358,1351
87,  7450,1366
88,  7537,1382
89,  7647,1374
90,  7750,1377
91,  7828,1391
92,  7897,1415
