minutes,both,firstonly
0,     0,    0
0,     0,    0
1,     0,    5
2,     9,  116
3,    56,  339
4,   171,  688
5,   312, 1117
6,   536, 1578
7,   804, 1945
8,  1079, 2275
9,  1395, 2488
10,  1783, 2657
11,  2148, 2831
12,  2505, 2917
13,  2851, 2959
14,  3229, 2967
15,  3542, 2987
16,  3921, 2963
17,  4254, 2913
18,  4541, 2913
19,  4813, 2909
20,  5082, 2881
21,  5354, 2819
22,  5606, 2797
23,  5862, 2761
24,  6100, 2703
25,  6331, 2659
26,  6562, 2601
27,  6789, 2546
28,  7004, 2503
29,  7218, 2441
30,  7381, 2420
31,  7583, 2354
32,  7751, 2318
33,  7943, 2235
34,  8112, 2179
35,  8292, 2124
36,  8428, 2105
37,  8565, 2081
38,  8696, 2065
39,  8820, 2047
40,  8958, 2006
41,  9075, 1993
42,  9201, 1990
43,  9333, 1970
44,  9455, 1941
45,  9559, 1915
46,  9670, 1897
47,  9802, 1849
48,  9910, 1817
49, 10018, 1799
50, 10115, 1782
51, 10206, 1781
52, 10311, 1754
53, 10414, 1736
54, 10503, 1755
55, 10599, 1738
56, 10706, 1710
57, 10806, 1692
58, 10885, 1693
59, 10981, 1665
60, 11063, 1658
61, 11149, 1647
62, 11233, 1637
63, 11315, 1627
64, 11382, 1639
65, 11469, 1624
66, 11554, 1592
67, 11649, 1579
68, 11734, 1555
69, 11801, 1551
70, 11883, 1543
71, 11956, 1536
72, 12024, 1559
73, 12098, 1558
74, 12179, 1544
75, 12244, 1547
76, 12316, 1547
77, 12386, 1553
78, 12464, 1545
79, 12544, 1527
80, 12608, 1540
81, 12695, 1527
82, 12760, 1522
83, 12827, 1525
84, 12901, 1540
85, 12954, 1556
86, 13025, 1543
87, 13100, 1549
88, 13164, 1552
89, 13218, 1566
90, 13295, 1562
91, 13360, 1563
92, 13419, 1577
93, 13503, 1585
94, 13567, 1584
95, 13633, 1598
96, 13693, 1603
97, 13755, 1611
98, 13831, 1605
99, 13900, 1628
100, 13961, 1647
101, 14033, 1661
102, 14096, 1650
103, 14159, 1674
104, 14239, 1664
105, 14308, 1672
106, 14396, 1643
107, 14464, 1661
108, 14533, 1680
109, 14589, 1698
